"Timestamp","Rank the bachelors [Alex]","Rank the bachelors [Elliott]","Rank the bachelors [Harvey]","Rank the bachelors [Sam]","Rank the bachelors [Sebastian]","Rank the bachelors [Shane]","Rank the bachelorettes [Abigail]","Rank the bachelorettes [Emily]","Rank the bachelorettes [Haley]","Rank the bachelorettes [Leah]","Rank the bachelorettes [Maru]","Rank the bachelorettes [Penny]","#1 Overall","#2 Overall","#3 Overall","How do you identify as?","What is your sexual orientation?","How old are you?",""
"2018/07/21 10:50:53 pm CET","#6","#5","#4","#3","#2","#1","#2","#5","#4","#3","#6","#1","Penny","Abigail","Leah","Male","Heterosexual","19-29",""
"2018/07/21 10:52:08 pm CET","#5","#1","#2","#3","#6","#4","#3","#2","#6","#5","#4","#1","Penny","Elliott","Harvey","Male","Bisexual","15-18",""
"2018/07/21 10:53:08 pm CET","#4","#2","#1","#3","#6","#5","#4","#5","#3","#2","#6","#1","Penny","Leah","Haley","Male","Heterosexual","15-18",""
"2018/07/21 10:53:20 pm CET","#3","#4","#2","#1","#5","#6","#1","#4","#2","#3","#5","#6","Abigail","","","Male","Heterosexual","19-29",""
"2018/07/21 10:53:27 pm CET","#3","#1","#2","#4","#5","#6","#3","#5","#6","#1","#4","#2","Leah","Penny","Abigail","Male","Heterosexual","19-29",""
"2018/07/21 10:53:38 pm CET","#3","#1","#4","#6","#2","#5","#4","#5","#6","#2","#3","#1","Elliott","Leah","Penny","Female","Heterosexual","19-29",""
"2018/07/21 10:54:01 pm CET","#6","#4","#3","#2","#1","#5","#1","#3","#6","#2","#4","#5","Abigail","Sebastian","Emily","Female","Bisexual","19-29",""
"2018/07/21 10:54:15 pm CET","#6","#5","#2","#4","#1","#3","#3","#5","#6","#2","#1","#4","","","","Non-binary","Heterosexual","19-29",""
"2018/07/21 10:54:16 pm CET","#5","#1","#2","#6","#4","#3","#4","#6","#5","#1","#3","#2","Leah","Elliott","Penny","Female","Bisexual","19-29",""
"2018/07/21 10:54:34 pm CET","#5","#6","#4","#3","#1","#2","#2","#4","#6","#1","#3","#5","Sebastian","Leah","Abigail","Male","Bisexual","19-29",""
"2018/07/21 10:54:51 pm CET","#6","#4","#2","#5","#1","#3","#1","#6","#5","#2","#3","#4","Abigail","Sebastian","Leah","Female","Asexual","30-39",""
"2018/07/21 10:55:02 pm CET","#1","#2","#6","#5","#4","#3","#2","#4","#5","#1","#6","#3","Alex","Leah","Abigail","Female","Heterosexual","19-29",""
"2018/07/21 10:55:05 pm CET","#3","#2","#1","#6","#5","#4","#5","#1","#4","#3","#6","#2","Emily","Leah","Harvey","Male","Heterosexual","19-29",""
"2018/07/21 10:55:26 pm CET","#1","#6","#4","#5","#2","#3","#1","#6","#4","#2","#3","#5","Abigail","Alex","Maru","Female","Bisexual","15-18",""
"2018/07/21 10:56:18 pm CET","#1","#2","#3","#4","#5","#6","#2","#5","#6","#1","#3","#4","Leah","Abigail","Maru","Male","Heterosexual","19-29",""
"2018/07/21 10:56:44 pm CET","#2","#5","#3","#1","#6","#4","#6","#4","#5","#2","#3","#1","Sam","Alex","Penny","Female","Heterosexual","19-29",""
"2018/07/21 10:56:59 pm CET","#4","#3","#1","#2","#5","#6","#4","#3","#6","#1","#5","#2","Leah","Harvey","Emily","Male","Heterosexual","30-39",""
"2018/07/21 10:57:14 pm CET","#4","#1","#5","#2","#3","#6","#3","#5","#4","#1","#2","#6","Leah","Maru","Abigail","Female","Bisexual","19-29",""
"2018/07/21 10:57:23 pm CET","#2","#1","#3","#4","#5","#6","#3","#1","#5","#2","#6","#4","Emily","Leah","Harvey","Male","Heterosexual","19-29",""
"2018/07/21 10:58:26 pm CET","#5","#2","#1","#6","#4","#3","#1","#2","#4","#3","#5","#6","Abigail","Elliott","Haley","Female","Bisexual","19-29",""
"2018/07/21 10:58:55 pm CET","#6","#1","#3","#5","#2","#4","#2","#4","#6","#1","#3","#5","Elliott","Leah","Abigail","Female","Heterosexual","19-29",""
"2018/07/21 10:59:09 pm CET","#2","#1","#6","#5","#3","#4","#5","#2","#3","#1","#6","#4","Leah","Elliott","Emily","Male","Heterosexual","19-29",""
"2018/07/21 10:59:54 pm CET","#6","#4","#1","#5","#3","#2","#4","#3","#5","#2","#6","#1","Penny","Emily","Leah","Male","Heterosexual","19-29",""
"2018/07/21 10:59:55 pm CET","#2","#4","#5","#3","#1","#6","#6","#5","#4","#1","#2","#3","Sebastian","Alex","Leah","Female","Bisexual","19-29",""
"2018/07/21 11:00:14 pm CET","#1","#2","#4","#3","#5","#6","#1","#5","#3","#4","#6","#2","Abigail","Haley","Penny","Male","Heterosexual","19-29",""
"2018/07/21 11:00:15 pm CET","#4","#1","#6","#3","#2","#5","#5","#6","#4","#1","#3","#2","Elliott","Leah","Sebastian","Female","Heterosexual","19-29",""
"2018/07/21 11:00:20 pm CET","#4","#1","#6","#2","#3","#5","#3","#4","#5","#2","#6","#1","Penny","Leah","Abigail","Male","Heterosexual","30-39",""
"2018/07/21 11:00:26 pm CET","#6","#4","#2","#5","#1","#3","#1","#4","#5","#6","#3","#2","Abigail","Penny","Shane","Female","Homosexual","19-29",""
"2018/07/21 11:00:42 pm CET","#6","#4","#2","#5","#1","#3","#2","#3","#4","#1","#5","#6","Leah","Abigail","Sebastian","Male","Heterosexual","19-29",""
"2018/07/21 11:01:09 pm CET","#6","#2","#1","#5","#3","#4","#3","#1","#6","#2","#5","#4","Harvey","Elliott","Abigail","Female","Bisexual","19-29",""
"2018/07/21 11:01:25 pm CET","#5","#4","#3","#2","#1","#6","#4","#3","#6","#1","#5","#2","Sebastian","Sam","Leah","Female","Asexual","30-39",""
"2018/07/21 11:01:51 pm CET","#2","#5","#6","#3","#1","#4","#2","#4","#3","#1","#6","#5","Leah","Abigail","Sebastian","Male","Heterosexual","30-39",""
"2018/07/21 11:02:38 pm CET","#2","#1","#5","#3","#4","#6","#5","#4","#6","#1","#3","#2","","","","Male","Heterosexual","15-18",""
"2018/07/21 11:02:39 pm CET","#1","#6","#3","#4","#5","#2","#5","#4","#3","#1","#6","#2","Leah","Penny","Alex","Male","Heterosexual","15-18",""
"2018/07/21 11:02:41 pm CET","#6","#5","#4","#2","#1","#3","#1","#5","#6","#2","#3","#4","Abigail","Leah","Penny","Male","Heterosexual","19-29",""
"2018/07/21 11:02:41 pm CET","#3","#4","#1","#5","#6","#2","#5","#3","#4","#2","#6","#1","Penny","Leah","Emily","Male","Heterosexual","19-29",""
"2018/07/21 11:03:15 pm CET","#4","#5","#6","#1","#2","#3","#5","#4","#1","#2","#6","#3","Haley","Sam","Sebastian","Male","Heterosexual","19-29",""
"2018/07/21 11:03:22 pm CET","#6","#5","#4","#1","#2","#3","#4","#5","#1","#2","#6","#3","Haley","Leah","Penny","Male","Heterosexual","30-39",""
"2018/07/21 11:03:31 pm CET","#3","#2","#6","#5","#1","#4","#6","#4","#3","#1","#5","#2","Sebastian","Leah","Alex","Female","Heterosexual","19-29",""
"2018/07/21 11:04:02 pm CET","#3","#1","#2","#4","#5","#6","#2","#5","#6","#1","#3","#4","Leah","Abigail","Maru","Male","Homosexual","19-29",""
"2018/07/21 11:04:13 pm CET","#6","#3","#1","#5","#2","#4","#2","#4","#6","#1","#5","#3","Leah","Abigail","Harvey","Female","Bisexual","19-29",""
"2018/07/21 11:04:30 pm CET","#2","#4","#1","#3","#6","#5","#6","#5","#4","#3","#1","#2","Sebastian","Shane","Abigail","Female","Heterosexual","19-29",""
"2018/07/21 11:04:38 pm CET","#4","#1","#5","#3","#6","#2","#5","#3","#4","#1","#2","#6","Leah","Maru","Emily","Male","Heterosexual","19-29",""
"2018/07/21 11:05:07 pm CET","#1","#6","#4","#3","#5","#2","#3","#4","#5","#2","#6","#1","Alex","Shane","Sam","Male","Homosexual","30-39",""
"2018/07/21 11:05:18 pm CET","#6","#4","#5","#3","#2","#1","#2","#3","#1","#4","#6","#5","Haley","Shane","Leah","Female","Heterosexual","19-29",""
"2018/07/21 11:05:55 pm CET","#6","#5","#1","#4","#3","#2","#1","#2","#6","#4","#5","#3","Abigail","Emily","Harvey","Male","Bisexual","15-18",""
"2018/07/21 11:06:15 pm CET","#4","#3","#5","#2","#1","#6","#3","#6","#4","#1","#5","#2","Leah","Penny","Abigail","Male","Heterosexual","19-29",""
"2018/07/21 11:06:29 pm CET","#6","#4","#2","#5","#1","#3","#3","#1","#2","#5","#6","#4","Emily","Emily","Emily","Male","Heterosexual","15-18",""
"2018/07/21 11:06:51 pm CET","#1","#3","#4","#2","#5","#6","#2","#6","#3","#1","#5","#4","Alex","Leah","Sam","Non-binary","Bisexual","30-39",""
"2018/07/21 11:06:55 pm CET","#6","#4","#1","#2","#3","#5","#6","#4","#5","#2","#1","#3","Harvey","Sam","Maru","Female","Heterosexual","30-39",""
"2018/07/21 11:06:59 pm CET","#4","#1","#2","#5","#3","#6","#5","#4","#3","#2","#1","#6","Penny","Abigail","Emily","Male","Heterosexual","19-29",""
"2018/07/21 11:07:28 pm CET","#5","#6","#4","#1","#3","#2","#4","#1","#2","#3","#6","#5","Emily","Haley","Abigail","Male","Heterosexual","19-29",""
"2018/07/21 11:07:37 pm CET","#1","#4","#3","#2","#5","#6","#4","#3","#5","#2","#6","#1","Penny","Leah","Emily","Male","Heterosexual","19-29",""
"2018/07/21 11:07:40 pm CET","#2","#4","#1","#3","#6","#5","#6","#5","#3","#1","#4","#2","Leah","Penny","Maru","Male","Heterosexual","15-18",""
"2018/07/21 11:08:35 pm CET","#4","#3","#6","#5","#1","#2","#1","#2","#3","#4","#6","#5","Sebastian","Shane","Abigail","Female","Heterosexual","19-29",""
"2018/07/21 11:08:42 pm CET","#5","#1","#4","#2","#3","#6","#1","#6","#3","#4","#2","#5","Elliott","Abigail","Sam","Female","Homosexual","19-29",""
"2018/07/21 11:08:43 pm CET","#6","#1","#3","#4","#5","#2","#4","#2","#5","#1","#6","#3","Leah","Elliott","Penny","Female","Homosexual","19-29",""
"2018/07/21 11:09:07 pm CET","#1","#3","#6","#5","#2","#4","#2","#4","#6","#3","#5","#1","Penny","Abigail","Alex","Male","Heterosexual","15-18",""
"2018/07/21 11:09:28 pm CET","#5","#2","#1","#4","#3","#6","#2","#3","#6","#4","#1","#5","Maru","Harvey","Sebastian","Female","Heterosexual","30-39",""
"2018/07/21 11:09:50 pm CET","#4","#1","#2","#6","#3","#5","#3","#5","#6","#1","#2","#4","Leah","Abigail","Maru","Female","Asexual","19-29",""
"2018/07/21 11:10:15 pm CET","#4","#5","#6","#3","#2","#1","#1","#2","#6","#3","#4","#5","Abigail","Sebastian","Shane","Male","Heterosexual","15-18",""
"2018/07/21 11:10:31 pm CET","#6","#3","#1","#4","#2","#5","#4","#5","#6","#1","#2","#3","Harvey","Leah","","Male","Homosexual","19-29",""
"2018/07/21 11:10:37 pm CET","#4","#6","#3","#5","#2","#1","#5","#2","#1","#4","#6","#3","Haley","Emily","Penny","Male","Heterosexual","15-18",""
"2018/07/21 11:10:55 pm CET","#3","#1","#2","#4","#5","#6","#6","#3","#1","#4","#5","#2","Elliott","Harvey","Alex","Female","Heterosexual","19-29",""
"2018/07/21 11:11:06 pm CET","#6","#3","#5","#4","#2","#1","#2","#1","#4","#3","#6","#5","Emily","Abigail","Shane","Female","Heterosexual","15-18",""
"2018/07/21 11:11:13 pm CET","#1","#4","#3","#2","#6","#5","#6","#2","#1","#4","#3","#5","Haley","Maru","Emily","Male","Heterosexual","19-29",""
"2018/07/21 11:11:17 pm CET","#5","#4","#1","#3","#6","#2","#6","#4","#5","#1","#3","#2","Leah","Harvey","Shane","Female","Bisexual","19-29",""
"2018/07/21 11:11:25 pm CET","#4","#1","#5","#2","#3","#6","#1","#4","#6","#3","#5","#2","Elliott","Abigail","Alex","Female","Heterosexual","15-18",""
"2018/07/21 11:11:36 pm CET","#3","#6","#5","#1","#2","#4","#2","#6","#5","#4","#1","#3","Sam","Sebastian","Alex","Female","Heterosexual","19-29",""
"2018/07/21 11:11:59 pm CET","#4","#3","#2","#5","#1","#6","#4","#2","#5","#1","#6","#3","Sebastian","Leah","Harvey","Female","Bisexual","19-29",""
"2018/07/21 11:12:09 pm CET","#3","#5","#4","#2","#1","#6","#1","#5","#4","#2","#6","#3","Abigail","Leah","Penny","Male","Heterosexual","15-18",""
"2018/07/21 11:12:12 pm CET","#2","#6","#3","#5","#1","#4","#4","#1","#5","#3","#2","#6","Sebastian","Alex","Emily","Female","Heterosexual","19-29",""
"2018/07/21 11:12:39 pm CET","#2","#4","#3","#6","#5","#1","#4","#3","#5","#1","#6","#2","Shane","Alex","Leah","Male","Homosexual","19-29",""
"2018/07/21 11:13:01 pm CET","#2","#4","#5","#3","#1","#6","#5","#2","#1","#4","#6","#3","Haley","Emily","Sebastian","Male","Heterosexual","19-29",""
"2018/07/21 11:13:50 pm CET","#1","#6","#5","#3","#4","#2","#4","#1","#6","#3","#2","#5","Alex","Shane","Sam","Male","Homosexual","30-39",""
"2018/07/21 11:14:21 pm CET","#1","#6","#5","#4","#3","#2","#2","#1","#4","#5","#6","#3","Emily","Abigail","Penny","Male","Heterosexual","19-29",""
"2018/07/21 11:14:46 pm CET","#3","#6","#5","#4","#2","#1","#3","#1","#6","#2","#4","#5","Shane","Sebastian","Emily","Male","pansexual","15-18",""
"2018/07/21 11:14:59 pm CET","#6","#5","#2","#1","#4","#3","#1","#3","#6","#2","#5","#4","Abigail","Leah","Harvey","Male","Bisexual","19-29",""
"2018/07/21 11:15:27 pm CET","#6","#5","#2","#4","#3","#1","#4","#6","#1","#2","#5","#3","Shane","Harvey","Haley","Female","Heterosexual","30-39",""
"2018/07/21 11:15:32 pm CET","#6","#4","#5","#3","#1","#2","#1","#5","#6","#2","#4","#3","Sebastian","Abigail","Leah","Non-binary","Pansexual","19-29",""
"2018/07/21 11:15:53 pm CET","#4","#5","#6","#2","#3","#1","#6","#5","#2","#1","#4","#3","Shane","Sam","Leah","Female","Bisexual","19-29",""
"2018/07/21 11:17:06 pm CET","#5","#6","#4","#3","#2","#1","#3","#2","#5","#1","#4","#6","Shane","Leah","Sebastian","Female","Bisexual","19-29",""
"2018/07/21 11:17:19 pm CET","#5","#1","#4","#6","#3","#2","#5","#6","#2","#3","#4","#1","Penny","Maru","Shane","Male","Heterosexual","19-29",""
"2018/07/21 11:17:26 pm CET","#3","#1","#2","#4","#5","#6","#4","#5","#6","#1","#2","#3","Elliott","Harvey","Leah","Female","Heterosexual","19-29",""
"2018/07/21 11:17:29 pm CET","#5","#6","#3","#4","#2","#1","#3","#5","#6","#2","#1","#4","Shane","Abigail","Emily","Female","Heterosexual","30-39",""
"2018/07/21 11:17:51 pm CET","#5","#3","#1","#4","#2","#6","#1","#5","#3","#2","#6","#4","Abigail","Leah","Haley","Male","Heterosexual","19-29",""
"2018/07/21 11:18:27 pm CET","#6","#3","#4","#5","#1","#2","#2","#4","#5","#1","#3","#6","Leah","Abigail","Sebastian","Female","Homosexual","19-29",""
"2018/07/21 11:18:40 pm CET","#1","#4","#5","#6","#3","#2","#2","#4","#6","#3","#1","#5","Alex","Shane","Maru","Female","Heterosexual","19-29",""
"2018/07/21 11:18:53 pm CET","#3","#1","#5","#4","#2","#6","#3","#5","#4","#1","#2","#6","Elliott","Leah","Maru","Female","Heterosexual","19-29",""
"2018/07/21 11:19:41 pm CET","#3","#1","#4","#6","#5","#2","#4","#2","#1","#5","#3","#6","Haley","Emily","Elliott","Male","Pansexual","19-29",""
"2018/07/21 11:19:49 pm CET","#4","#1","#2","#3","#6","#5","#5","#4","#3","#6","#2","#1","Leah","Abigail","Emily","Female","¯\_(ツ)_/¯","19-29",""
"2018/07/21 11:19:57 pm CET","#6","#5","#3","#4","#1","#2","#1","#4","#5","#2","#6","#3","Abigail","Leah","Emily","Male","Heterosexual","30-39",""
"2018/07/21 11:20:18 pm CET","#6","#5","#3","#2","#1","#4","#2","#6","#3","#1","#5","#4","Leah","Sebastian","Abigail","Female","Bisexual","19-29",""
"2018/07/21 11:20:47 pm CET","#4","#3","#1","#2","#5","#6","#5","#2","#6","#1","#4","#3","Leah","Emily","Penny","Male","Heterosexual","19-29",""
"2018/07/21 11:21:25 pm CET","#6","#1","#5","#3","#4","#2","#4","#3","#6","#1","#2","#5","Elliott","Shane","Maru","Male","don't know","19-29",""
"2018/07/21 11:21:28 pm CET","#2","#6","#5","#1","#3","#4","#6","#2","#4","#5","#3","#1","Sam","Alex","Emily","Female","Bisexual","15-18",""
"2018/07/21 11:21:44 pm CET","#3","#4","#6","#2","#5","#1","#3","#4","#5","#2","#6","#1","Penny","Shane","Leah","Male","Heterosexual","15-18",""
"2018/07/21 11:21:45 pm CET","#1","#4","#6","#2","#3","#5","#1","#5","#4","#2","#6","#3","Abigail","Leah","Emily","Male","Heterosexual","19-29",""
"2018/07/21 11:22:12 pm CET","#2","#6","#5","#3","#4","#1","#2","#4","#5","#1","#3","#6","Shane","Leah","Abigail","Male","Asexual","19-29",""
"2018/07/21 11:22:15 pm CET","#6","#1","#3","#5","#4","#2","#4","#3","#6","#2","#5","#1","Penny","Leah","Emily","Male","Heterosexual","19-29",""
"2018/07/21 11:22:36 pm CET","#6","#5","#3","#2","#4","#1","#4","#3","#6","#1","#5","#2","Shane","Leah","Sam","Female","Heterosexual","15-18",""
"2018/07/21 11:22:40 pm CET","#4","#1","#5","#6","#2","#3","#5","#3","#4","#1","#6","#2","Elliott","Sebastian","Shane","Male","Homosexual","19-29",""
"2018/07/21 11:22:45 pm CET","#5","#3","#4","#1","#2","#6","#2","#5","#6","#3","#4","#1","Sam","Penny","Sebastian","Female","Heterosexual","19-29",""
"2018/07/21 11:23:28 pm CET","#4","#3","#1","#2","#5","#6","#4","#3","#2","#1","#6","#5","Leah","Haley","Emily","Male","Homosexual","30-39",""
"2018/07/21 11:23:29 pm CET","#4","#6","#5","#3","#1","#2","#2","#6","#5","#1","#3","#4","Sebastian","Leah","Abigail","Female","Heterosexual","19-29",""
"2018/07/21 11:23:36 pm CET","#6","#4","#5","#3","#2","#1","#2","#5","#6","#1","#4","#3","Shane","Sebastian","Leah","Female","Bisexual","19-29",""
"2018/07/21 11:23:49 pm CET","#2","#6","#4","#5","#3","#1","#2","#1","#4","#3","#6","#5","","","","Female","Heterosexual","15-18",""
"2018/07/21 11:23:52 pm CET","#2","#6","#3","#1","#5","#4","#6","#5","#3","#4","#2","#1","Elliott","Abigail","Sebastian","Female","Bisexual","19-29",""
"2018/07/21 11:23:55 pm CET","#5","#2","#1","#6","#3","#4","#2","#3","#6","#1","#5","#4","Harvey","Elliott","Sebastian","Female","Asexual","19-29",""
"2018/07/21 11:24:08 pm CET","#4","#2","#1","#3","#6","#5","#2","#4","#5","#1","#6","#3","Harvey","Leah","Abigail","Female","Heterosexual","19-29",""
"2018/07/21 11:25:30 pm CET","#6","#2","#1","#5","#3","#4","#5","#4","#6","#3","#1","#2","Harvey","Maru","Elliott","Female","Bisexual","19-29",""
"2018/07/21 11:25:42 pm CET","#2","#4","#1","#3","#5","#6","#5","#4","#6","#2","#3","#1","Harvey","Penny","Leah","Female","Heterosexual","19-29",""
"2018/07/21 11:25:45 pm CET","#2","#6","#3","#5","#4","#1","#5","#1","#6","#3","#2","#4","Shane","Alex","Sebastian","Male","Homosexual","19-29",""
"2018/07/21 11:25:52 pm CET","#5","#4","#1","#6","#2","#3","#2","#5","#6","#3","#4","#1","Harvey","Penny","Abigail","Female","Heterosexual","30-39",""
"2018/07/21 11:26:08 pm CET","#5","#2","#4","#3","#1","#6","#2","#3","#6","#1","#5","#4","Sebastian","Elliott","Leah","Female","Heterosexual","19-29",""
"2018/07/21 11:27:49 pm CET","#5","#2","#1","#3","#4","#6","#3","#6","#5","#4","#1","#2","Maru","Penny","Abigail","Female","Bisexual","15-18",""
"2018/07/21 11:28:01 pm CET","#6","#4","#5","#1","#2","#3","#5","#4","#6","#1","#3","#2","Sam","Leah","Penny","Female","Bisexual","15-18",""
"2018/07/21 11:28:15 pm CET","#3","#2","#4","#1","#5","#6","#1","#2","#6","#5","#4","#3","Abigail","Penny","Emily","Male","Heterosexual","19-29",""
"2018/07/21 11:29:02 pm CET","#6","#3","#1","#4","#5","#2","#2","#1","#6","#4","#5","#3","Emily","Abigail","Penny","Male","Heterosexual","30-39",""
"2018/07/21 11:29:04 pm CET","#3","#4","#2","#6","#5","#1","#5","#4","#6","#3","#2","#1","Emily","Maru","Leah","Male","Heterosexual","19-29",""
"2018/07/21 11:29:08 pm CET","#6","#3","#2","#5","#1","#4","#1","#6","#3","#4","#2","#5","Sebastian","Abigail","Maru","","","",""
"2018/07/21 11:29:08 pm CET","#4","#3","#6","#5","#2","#1","#1","#2","#6","#3","#4","#5","Sebastian","Shane","Elliott","Male","Homosexual","19-29",""
"2018/07/21 11:29:22 pm CET","#6","#5","#3","#4","#2","#1","#2","#5","#4","#1","#3","#6","Leah","Abigail","Sebastian","Male","Homosexual","15-18",""
"2018/07/21 11:29:25 pm CET","#3","#4","#5","#2","#1","#6","#1","#5","#6","#4","#3","#2","Sebastian","Abigail","Alex","Female","Asexual","19-29",""
"2018/07/21 11:29:48 pm CET","#4","#1","#2","#5","#3","#6","#1","#2","#5","#4","#6","#3","Abigail","Emily","Penny","Female","Bisexual","19-29",""
"2018/07/21 11:30:24 pm CET","#4","#2","#5","#3","#1","#6","#4","#1","#6","#2","#5","#3","Sebastian","Elliott","Emily","Male","Bisexual","19-29",""
"2018/07/21 11:30:57 pm CET","#6","#4","#5","#3","#1","#2","#1","#5","#6","#2","#3","#4","Abigail","Leah","Shane","Male","Heterosexual","19-29",""
"2018/07/21 11:31:12 pm CET","#6","#1","#2","#5","#3","#4","#5","#4","#6","#1","#3","#2","Elliott","Harvey","Leah","Female","Heterosexual","30-39",""
"2018/07/21 11:31:22 pm CET","#5","#6","#1","#3","#4","#2","#1","#4","#5","#2","#6","#3","Harvey","Abigail","Penny","Female","Bisexual","19-29",""
"2018/07/21 11:31:30 pm CET","#5","#4","#6","#2","#1","#3","#1","#3","#6","#2","#5","#4","Sebastian","Sam","Shane","Female","Heterosexual","15-18",""
"2018/07/21 11:32:06 pm CET","#6","#2","#1","#4","#3","#5","#4","#5","#6","#1","#2","#3","Harvey","Leah","Elliott","Female","Heterosexual","30-39",""
"2018/07/21 11:32:19 pm CET","#2","#3","#1","#4","#6","#5","#4","#2","#3","#1","#6","#5","Harvey","Leah","Emily","Female","Heterosexual","19-29",""
"2018/07/21 11:32:32 pm CET","#2","#4","#1","#6","#3","#5","#2","#6","#5","#4","#1","#3","Maru","Harvey","Leah","Female","Bisexual","15-18",""
"2018/07/21 11:33:36 pm CET","#1","#5","#4","#6","#3","#2","#4","#5","#2","#1","#6","#3","Alex","Shane","Leah","Female","Heterosexual","19-29",""
"2018/07/21 11:33:52 pm CET","#6","#5","#3","#4","#1","#2","#1","#5","#6","#4","#2","#3","Sebastian","Maru","Penny","Female","Heterosexual","19-29",""
"2018/07/21 11:34:39 pm CET","#1","#3","#6","#4","#2","#5","#2","#6","#1","#4","#3","#5","Alex","Sebastian","Haley","Female","Heterosexual","14 or under",""
"2018/07/21 11:35:38 pm CET","#3","#6","#4","#5","#2","#1","#5","#6","#4","#3","#2","#1","Penny","Shane","Maru","","","",""
"2018/07/21 11:36:39 pm CET","#6","#5","#4","#3","#1","#2","#3","#6","#4","#1","#5","#2","Leah","Sebastian","Penny","Male","Heterosexual","30-39",""
"2018/07/21 11:37:08 pm CET","#5","#3","#2","#4","#1","#6","#3","#5","#6","#1","#4","#2","Leah","Penny","Sebastian","Male","Bisexual","19-29",""
"2018/07/21 11:37:11 pm CET","#4","#1","#2","#5","#6","#3","#3","#4","#6","#1","#2","#5","Elliott","Harvey","Leah","Female","Heterosexual","30-39",""
"2018/07/21 11:37:21 pm CET","#6","#5","#2","#4","#1","#3","#2","#4","#6","#1","#5","#3","Leah","Abigail","Penny","Male","Heterosexual","19-29",""
"2018/07/21 11:37:30 pm CET","#1","#2","#4","#3","#5","#6","#2","#1","#6","#3","#4","#5","Emily","Leah","Maru","Male","Bisexual","19-29",""
"2018/07/21 11:38:05 pm CET","#4","#6","#3","#2","#1","#5","#2","#5","#4","#3","#6","#1","Penny","Abigail","Leah","Male","Heterosexual","19-29",""
"2018/07/21 11:38:16 pm CET","#2","#4","#1","#6","#5","#3","#2","#3","#6","#1","#5","#4","Alex","Harvey","Leah","Female","Asexual","19-29",""
"2018/07/21 11:38:24 pm CET","#4","#6","#5","#1","#2","#3","#2","#5","#1","#3","#6","#4","Sam","Sebastian","Alex","Female","Heterosexual","15-18",""
"2018/07/21 11:38:25 pm CET","#4","#3","#5","#6","#1","#2","#1","#5","#3","#4","#2","#6","Sebastian","Shane","Abigail","Female","Bisexual","30-39",""
"2018/07/21 11:39:08 pm CET","#2","#4","#3","#6","#5","#1","#1","#3","#6","#5","#2","#4","Alex","Shane","Abigail","Male","Homosexual","19-29",""
"2018/07/21 11:39:41 pm CET","#3","#5","#4","#1","#2","#6","#1","#4","#6","#2","#5","#3","Sam","Sebastian","Abigail","Female","Heterosexual","19-29",""
"2018/07/21 11:40:10 pm CET","#6","#1","#4","#3","#2","#5","#3","#5","#6","#2","#4","#1","Elliott","Sebastian","Sam","Female","Heterosexual","19-29",""
"2018/07/21 11:40:50 pm CET","#1","#3","#4","#2","#5","#6","#5","#3","#4","#1","#6","#2","Leah","Penny","Emily","Male","Heterosexual","15-18",""
"2018/07/21 11:42:03 pm CET","#6","#3","#2","#5","#4","#1","#1","#4","#6","#2","#5","#3","Abigail","Shane","Maru","Male","Heterosexual","30-39",""
"2018/07/21 11:42:46 pm CET","#2","#1","#3","#5","#4","#6","#1","#5","#4","#2","#3","#6","Leah","Elliott","Abigail","Female","Heterosexual","30-39",""
"2018/07/21 11:42:50 pm CET","#5","#2","#1","#3","#4","#6","#5","#4","#6","#3","#2","#1","Harvey","Penny","Leah","Female","Asexual","14 or under",""
"2018/07/21 11:43:08 pm CET","#2","#3","#4","#1","#5","#6","#3","#5","#2","#1","#4","#6","Haley","Leah","Abigail","Male","Heterosexual","15-18",""
"2018/07/21 11:43:10 pm CET","#5","#6","#3","#1","#2","#4","#2","#6","#5","#3","#4","#1","Penny","Abigail","Leah","Male","Heterosexual","30-39",""
"2018/07/21 11:43:27 pm CET","#2","#6","#5","#4","#1","#3","#2","#3","#5","#4","#6","#1","Penny","Penny","Penny","Male","Heterosexual","19-29",""
"2018/07/21 11:43:43 pm CET","#4","#6","#3","#2","#1","#5","#2","#3","#6","#1","#5","#4","Sebastian","Leah","Sam","Female","Heterosexual","30-39",""
"2018/07/21 11:43:47 pm CET","#6","#2","#1","#4","#5","#3","#3","#4","#6","#2","#5","#1","Penny","Leah","Abigail","Male","Heterosexual","19-29",""
"2018/07/21 11:43:52 pm CET","#2","#1","#5","#4","#6","#3","#5","#6","#4","#1","#2","#3","Leah","Maru","Elliott","Male","Heterosexual","19-29",""
"2018/07/21 11:44:55 pm CET","#5","#2","#3","#4","#1","#6","#1","#5","#6","#2","#3","#4","Abigail","Leah","Sebastian","Male","Bisexual","19-29",""
"2018/07/21 11:45:23 pm CET","#6","#3","#2","#4","#5","#1","#4","#6","#5","#1","#3","#2","Shane","Leah","Penny","Female","Heterosexual","19-29",""
"2018/07/21 11:45:39 pm CET","#4","#1","#5","#6","#2","#3","#6","#3","#4","#1","#5","#2","Leah","Elliott","Penny","Female","Heterosexual","19-29",""
"2018/07/21 11:45:43 pm CET","#2","#3","#1","#4","#6","#5","#3","#2","#6","#1","#4","#5","Harvey","Alex","Elliott","Male","Homosexual","19-29",""
"2018/07/21 11:45:50 pm CET","#3","#4","#1","#5","#6","#2","#6","#3","#2","#4","#5","#1","Harvey","Shane","Penny","Female","Heterosexual","19-29",""
