"Timestamp","Rank the bachelors [Alex]","Rank the bachelors [Elliott]","Rank the bachelors [Harvey]","Rank the bachelors [Sam]","Rank the bachelors [Sebastian]","Rank the bachelors [Shane]","Rank the bachelorettes [Abigail]","Rank the bachelorettes [Emily]","Rank the bachelorettes [Haley]","Rank the bachelorettes [Leah]","Rank the bachelorettes [Maru]","Rank the bachelorettes [Penny]","#1 Overall","#2 Overall","#3 Overall","How do you identify as?","What is your sexual orientation?","How old are you?",""
"2018/07/21 6:12:07 pm CET","#3","#4","#5","#2","#1","#6","#5","#2","#3","#4","#6","#1","","","","Male","Heterosexual","19-29",""
"2018/07/21 6:12:19 pm CET","#2","#3","#4","#5","#6","#1","#3","#6","#2","#1","#5","#4","","","","Male","Homosexual","19-29",""
"2018/07/21 6:12:27 pm CET","#5","#4","#6","#3","#2","#1","#2","#3","#4","#6","#5","#1","","","","Male","Heterosexual","19-29",""
"2018/07/21 6:12:43 pm CET","#6","#4","#5","#1","#2","#3","#4","#5","#2","#1","#6","#3","","","","Female","Homosexual","19-29",""
"2018/07/21 6:12:59 pm CET","#6","#5","#1","#3","#2","#4","#3","#2","#5","#4","#1","#6","","","","Male","Heterosexual","19-29",""
"2018/07/21 6:14:31 pm CET","#1","#6","#5","#3","#4","#2","#5","#4","#6","#1","#2","#3","","","","Male","Bisexual","19-29",""
"2018/07/21 6:15:06 pm CET","#5","#4","#3","#6","#1","#2","#3","#2","#6","#1","#5","#4","","","","Female","Heterosexual","19-29",""
"2018/07/21 6:17:03 pm CET","#6","#1","#3","#5","#2","#4","#3","#5","#4","#2","#1","#6","","","","Female","Heterosexual","40-49",""
"2018/07/21 6:17:36 pm CET","#5","#1","#2","#4","#3","#6","#6","#1","#3","#2","#4","#5","","","","Male","Heterosexual","40-49",""
"2018/07/21 6:21:58 pm CET","#5","#6","#1","#2","#3","#4","#1","#6","#2","#3","#5","#4","","","","Male","Heterosexual","19-29",""
"2018/07/21 6:22:01 pm CET","#3","#2","#4","#5","#6","#1","#4","#3","#5","#2","#6","#1","","","","Male","Heterosexual","19-29",""
"2018/07/21 6:22:02 pm CET","#6","#5","#2","#4","#1","#3","#2","#4","#6","#3","#1","#5","","","","Female","Bisexual","19-29",""
"2018/07/21 6:23:50 pm CET","#4","#2","#5","#6","#1","#3","#5","#2","#1","#6","#3","#4","","","","Male","Heterosexual","15-18",""
"2018/07/21 6:24:28 pm CET","#3","#2","#1","#6","#5","#4","#6","#3","#2","#1","#4","#5","","","","Male","Heterosexual","19-29",""
"2018/07/21 6:24:37 pm CET","#2","#1","#3","#4","#5","#6","#1","#3","#6","#2","#5","#4","","","","Male","Homosexual","15-18",""
"2018/07/21 6:27:01 pm CET","#6","#1","#4","#5","#2","#3","#4","#5","#6","#2","#1","#3","","","","Female","Heterosexual","19-29",""
"2018/07/21 6:27:25 pm CET","#5","#3","#6","#2","#1","#4","#1","#2","#6","#4","#3","#5","","","","Female","Heterosexual","30-39",""
"2018/07/21 6:28:08 pm CET","#4","#2","#6","#3","#1","#5","#3","#1","#6","#2","#5","#4","","","","Male","Heterosexual","30-39",""
"2018/07/21 6:28:30 pm CET","#4","#2","#6","#3","#1","#5","#4","#5","#3","#1","#6","#2","","","","Male","Heterosexual","30-39",""
"2018/07/21 6:29:39 pm CET","#2","#1","#3","#5","#4","#6","#4","#5","#1","#2","#6","#3","","","","Male","Heterosexual","19-29",""
"2018/07/21 6:29:51 pm CET","#4","#3","#1","#2","#6","#5","#5","#3","#4","#1","#6","#2","","","","Male","Heterosexual","30-39",""
"2018/07/21 6:29:51 pm CET","#5","#4","#6","#3","#1","#2","#2","#3","#4","#1","#5","#6","","","","Male","Heterosexual","19-29",""
"2018/07/21 6:31:07 pm CET","#2","#5","#6","#3","#4","#1","#1","#6","#2","#4","#5","#3","","","","Female","Asexual","14 or under",""
"2018/07/21 6:31:11 pm CET","#3","#1","#2","#4","#6","#5","#1","#5","#3","#2","#6","#4","","","","Male","Bisexual","19-29",""
"2018/07/21 6:32:17 pm CET","#6","#4","#3","#1","#2","#5","#2","#6","#5","#3","#4","#1","","","","Male","Heterosexual","19-29",""
"2018/07/21 6:36:31 pm CET","#6","#5","#2","#3","#4","#1","#2","#5","#6","#1","#4","#3","","","","Male","Heterosexual","30-39",""
"2018/07/21 6:38:50 pm CET","#3","#1","#2","#6","#4","#5","#1","#6","#5","#2","#4","#3","","","","Male","Heterosexual","19-29",""
"2018/07/21 6:39:01 pm CET","#3","#1","#6","#2","#4","#5","#2","#6","#3","#1","#5","#4","","","","Male","Heterosexual","19-29",""
"2018/07/21 6:39:28 pm CET","#1","#2","#5","#4","#3","#6","#4","#5","#6","#1","#3","#2","","","","Female","Heterosexual","19-29",""
"2018/07/21 6:39:37 pm CET","#6","#1","#5","#3","#2","#4","#2","#5","#6","#1","#4","#3","","","","Female","Heterosexual","19-29",""
"2018/07/21 6:40:40 pm CET","#6","#5","#4","#1","#2","#3","#5","#3","#1","#2","#6","#4","","","","Male","Heterosexual","19-29",""
"2018/07/21 6:41:11 pm CET","#4","#6","#2","#5","#3","#1","#3","#5","#2","#4","#6","#1","","","","Female","Heterosexual","30-39",""
"2018/07/21 6:42:03 pm CET","#5","#6","#4","#3","#1","#2","#5","#4","#6","#1","#2","#3","","","","Female","Asexual","19-29",""
"2018/07/21 6:42:26 pm CET","#6","#4","#1","#5","#3","#2","#5","#4","#6","#3","#2","#1","","","","Female","Heterosexual","19-29",""
"2018/07/21 6:42:40 pm CET","#4","#1","#5","#6","#3","#2","#2","#6","#5","#1","#4","#3","","","","Female","Heterosexual","19-29",""
"2018/07/21 6:42:44 pm CET","#5","#2","#1","#6","#4","#3","#3","#1","#4","#2","#6","#5","","","","Female","Heterosexual","40-49",""
"2018/07/21 6:43:10 pm CET","#4","#5","#6","#3","#2","#1","#4","#5","#1","#6","#3","#2","","","","Non-binary","Bisexual","15-18",""
"2018/07/21 6:43:29 pm CET","#3","#6","#5","#2","#1","#4","#4","#6","#5","#1","#2","#3","","","","Male","Homosexual","30-39",""
"2018/07/21 6:44:17 pm CET","#6","#3","#4","#2","#1","#5","#2","#4","#6","#1","#5","#3","","","","Female","Bisexual","30-39",""
"2018/07/21 6:44:20 pm CET","#4","#5","#6","#2","#1","#3","#1","#4","#2","#3","#5","#6","","","","Male","Heterosexual","40-49",""
"2018/07/21 6:44:37 pm CET","#2","#3","#4","#6","#5","#1","#6","#3","#1","#4","#5","#2","","","","Female","Bisexual","19-29",""
"2018/07/21 6:45:30 pm CET","#5","#3","#1","#2","#4","#6","#4","#2","#6","#5","#1","#3","","","","Male","Heterosexual","19-29",""
"2018/07/21 6:46:27 pm CET","#4","#3","#5","#2","#1","#6","#1","#3","#6","#2","#4","#5","","","","Female","Heterosexual","19-29",""
"2018/07/21 6:46:41 pm CET","#2","#3","#6","#5","#4","#1","#6","#5","#3","#2","#4","#1","","","","Female","Heterosexual","19-29",""
"2018/07/21 6:46:52 pm CET","#3","#6","#1","#5","#2","#4","#1","#4","#6","#3","#5","#2","","","","Male","Heterosexual","15-18",""
"2018/07/21 6:47:18 pm CET","#4","#5","#6","#3","#2","#1","#4","#5","#1","#2","#6","#3","","","","Female","Heterosexual","19-29",""
"2018/07/21 6:47:45 pm CET","#6","#4","#1","#5","#2","#3","#3","#1","#5","#4","#2","#6","","","","Female","Homosexual","19-29",""
"2018/07/21 6:48:12 pm CET","#6","#2","#5","#3","#4","#1","#1","#3","#5","#2","#6","#4","","","","Male","Heterosexual","19-29",""
"2018/07/21 6:48:19 pm CET","#1","#5","#6","#2","#3","#4","#1","#4","#2","#3","#5","#6","","","","Male","Homosexual","19-29",""
"2018/07/21 6:48:53 pm CET","#3","#2","#6","#4","#5","#1","#5","#6","#1","#4","#2","#3","","","","Male","Heterosexual","19-29",""
"2018/07/21 6:48:56 pm CET","#5","#1","#3","#4","#2","#6","#3","#2","#5","#1","#4","#6","","","","Male","Heterosexual","30-39",""
"2018/07/21 6:49:29 pm CET","#6","#4","#2","#5","#1","#3","#1","#4","#6","#3","#5","#2","","","","Male","Heterosexual","40-49",""
"2018/07/21 6:49:41 pm CET","#6","#3","#2","#4","#5","#1","#4","#5","#6","#1","#2","#3","","","","Female","Heterosexual","19-29",""
"2018/07/21 6:49:51 pm CET","#6","#3","#4","#2","#1","#5","#2","#1","#6","#3","#5","#4","","","","Male","Heterosexual","19-29",""
"2018/07/21 6:51:30 pm CET","#2","#1","#4","#5","#3","#6","#5","#6","#3","#2","#4","#1","","","","Male","Heterosexual","19-29",""
"2018/07/21 6:51:36 pm CET","#4","#1","#2","#5","#6","#3","#4","#2","#5","#3","#1","#6","","","","Female","Bisexual","19-29",""
"2018/07/21 6:52:03 pm CET","#4","#3","#1","#6","#5","#2","#4","#3","#6","#5","#1","#2","","","","Female","Heterosexual","19-29",""
"2018/07/21 6:52:34 pm CET","#5","#6","#1","#4","#3","#2","#2","#5","#6","#3","#4","#1","","","","Female","Bisexual","19-29",""
